city,temperature,humidity,weather,wind_speed,pressure
Ḩeşār-e Sefīd,14.02,9,broken clouds,4.12,1012
‘Ayn Ḩalāqīm,10.87,46,broken clouds,1.83,1014
Taglag,4.18,45,broken clouds,1.03,1020
Qabāghlū,3.55,53,overcast clouds,1.51,1016
‘Arīqah,11.66,50,broken clouds,3.15,1013
Kalāteh-ye Dowlat,11.05,30,few clouds,5.14,1019
Behjatābād,14.01,67,clear sky,5.14,1017
Ţālesh Maḩalleh,12.92,71,clear sky,5.14,1017
Shahrīār Kandeh,14.96,51,clear sky,9.26,1017
Bālā Aḩmad Kolā,13.3,57,clear sky,6.03,1017
Aş Şūrah aş Şaghīrah,10.76,57,broken clouds,5.74,1014
Āqdūz,-1.89,72,overcast clouds,1.35,1018
Āzādshahr,-0.73,64,clear sky,2.06,1014
Gollar,7.17,42,clear sky,2.06,1017
Dīgāleh,1.94,30,broken clouds,2.06,1019
Qarālar-e Mīrzā Ḩoseynqolī,2.03,30,broken clouds,2.06,1019
Protaras,17.22,56,broken clouds,3.58,1015
Kahrīz,14.04,9,broken clouds,4.12,1012
Nūrābād,7.57,23,overcast clouds,6.08,1013
Rokan Sarā,15.99,41,few clouds,5.14,1016
Zīrjān,5.4,19,clear sky,3.69,1017
Dahasuways,29.07,18,clear sky,6.14,1011
Ash Shihr,25.78,54,clear sky,4.05,1012
Al Ghaylah,29.97,6,clear sky,5.21,1007
Judaydah,31.79,16,clear sky,6.51,1008
Dawran,24.38,21,clear sky,5.12,1011
Najd al Jama`i,25.15,20,few clouds,5.1,1011
Zalmah al `Ulya,22.25,29,few clouds,6.3,1011
Suq ar Rubu`,25.11,31,clear sky,6.74,1009
Ash Shuqayrah,32.44,21,scattered clouds,6.7,1008
Mashraah,23.85,15,clear sky,1.91,1010
Ar Rawnah,27.73,20,few clouds,5.99,1010
Ar Ramadi,30.99,24,few clouds,5.16,1009
Al Ahad,27.37,29,clear sky,6.01,1010
Ad Dil`,23.54,37,clear sky,4.46,1011
Al Jabin,25,40,clear sky,3.2,1010
Badrābād-e `Olyā,14.95,18,broken clouds,3.09,1012
Īstgāh-e Rāh Āhan-e Garmsār,12,22,scattered clouds,1.61,1016
Qarchak,11.75,17,scattered clouds,1.34,1016
Suq Sirwah,30.58,13,clear sky,5.06,1007
Majzar,32.74,12,clear sky,3.75,1007
Bidbadah,25.88,14,few clouds,5.39,1009
Matwah,24.45,37,clear sky,3.85,1011
Suwayr,28.02,35,few clouds,4.65,1010
Wadarah,30.62,42,few clouds,3.98,1010
Suq Shamar,29.2,41,scattered clouds,4.01,1009
Mustaba,31.15,49,scattered clouds,5.91,1009
An Nazir,26.54,48,few clouds,4.11,1011
Dayr al Hisi,31.94,45,broken clouds,5.48,1009
Tabrīz Jānī,5,36,clear sky,3.09,1019
Andīmeshk,19.84,24,broken clouds,3.29,1013
Ravīndūzaq,5.57,41,overcast clouds,1.5,1015
Māmā’ī,16.94,45,clear sky,5.14,1018
Reẕāābād,7.04,33,few clouds,4.12,1022
Khorramdarreh,5.14,40,broken clouds,1.56,1016
Kūchaklī,6.26,31,broken clouds,3.52,1015
Koshtārgāh,20,37,broken clouds,4.12,1014
Jozf-e Soflá,19.99,26,broken clouds,2.06,1013
Rwanda,27.11,44,light rain,4.12,1009
Yeed,35.52,17,broken clouds,7.59,1006
Oddur,34.32,16,broken clouds,7.84,1007
Xarardheere,29.32,40,scattered clouds,8.51,1009
Woqooyi Galbeed,26.74,46,broken clouds,6.33,1010
Wanlaweyn,37.05,18,few clouds,5.58,1006
